2026-01-09 02:03:48 startup archives install
2026-01-09 02:08:40 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:40 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:43 startup archives unpack
2026-01-09 02:08:43 upgrade libstdc++6:amd64 12-20220319-1ubuntu1 12-20220319-1ubuntu1
2026-01-09 02:08:43 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:43 status half-configured libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:43 status unpacked libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:43 status half-installed libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:43 status unpacked libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:44 startup packages configure
2026-01-09 02:08:44 configure libstdc++6:amd64 12-20220319-1ubuntu1 <none>
2026-01-09 02:08:44 status unpacked libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:44 status half-configured libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:44 status installed libstdc++6:amd64 12-20220319-1ubuntu1
2026-01-09 02:08:44 startup packages configure
2026-01-09 02:08:44 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:08:44 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:44 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:47 startup archives unpack
2026-01-09 02:08:47 upgrade libsystemd0:amd64 249.11-0ubuntu3 249.11-0ubuntu3
2026-01-09 02:08:47 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:47 status half-configured libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:47 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:47 status half-installed libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:47 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:47 startup packages configure
2026-01-09 02:08:47 configure libsystemd0:amd64 249.11-0ubuntu3 <none>
2026-01-09 02:08:47 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:47 status half-configured libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:47 status installed libsystemd0:amd64 249.11-0ubuntu3
2026-01-09 02:08:48 startup packages configure
2026-01-09 02:08:48 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:08:48 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:48 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:51 startup archives unpack
2026-01-09 02:08:51 upgrade libtasn1-6:amd64 4.18.0-4build1 4.18.0-4build1
2026-01-09 02:08:51 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:51 status half-configured libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:51 status unpacked libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:51 status half-installed libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:51 status unpacked libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:51 startup packages configure
2026-01-09 02:08:51 configure libtasn1-6:amd64 4.18.0-4build1 <none>
2026-01-09 02:08:51 status unpacked libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:51 status half-configured libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:51 status installed libtasn1-6:amd64 4.18.0-4build1
2026-01-09 02:08:52 startup packages configure
2026-01-09 02:08:52 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:08:52 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:52 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:55 startup archives unpack
2026-01-09 02:08:55 upgrade libtinfo6:amd64 6.3-2 6.3-2
2026-01-09 02:08:55 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:55 status half-configured libtinfo6:amd64 6.3-2
2026-01-09 02:08:55 status unpacked libtinfo6:amd64 6.3-2
2026-01-09 02:08:55 status half-installed libtinfo6:amd64 6.3-2
2026-01-09 02:08:55 status unpacked libtinfo6:amd64 6.3-2
2026-01-09 02:08:55 startup packages configure
2026-01-09 02:08:55 configure libtinfo6:amd64 6.3-2 <none>
2026-01-09 02:08:55 status unpacked libtinfo6:amd64 6.3-2
2026-01-09 02:08:55 status half-configured libtinfo6:amd64 6.3-2
2026-01-09 02:08:55 status installed libtinfo6:amd64 6.3-2
2026-01-09 02:08:56 startup packages configure
2026-01-09 02:08:56 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:08:56 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:56 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:08:59 startup archives unpack
2026-01-09 02:08:59 upgrade libtirpc-common:all 1.3.2-2build1 1.3.2-2build1
2026-01-09 02:08:59 status half-configured libtirpc-common:all 1.3.2-2build1
2026-01-09 02:08:59 status unpacked libtirpc-common:all 1.3.2-2build1
2026-01-09 02:08:59 status half-installed libtirpc-common:all 1.3.2-2build1
2026-01-09 02:08:59 status unpacked libtirpc-common:all 1.3.2-2build1
2026-01-09 02:08:59 startup packages configure
2026-01-09 02:08:59 configure libtirpc-common:all 1.3.2-2build1 <none>
2026-01-09 02:08:59 status unpacked libtirpc-common:all 1.3.2-2build1
2026-01-09 02:08:59 status half-configured libtirpc-common:all 1.3.2-2build1
2026-01-09 02:08:59 status installed libtirpc-common:all 1.3.2-2build1
2026-01-09 02:09:00 startup packages configure
2026-01-09 02:09:03 startup archives unpack
2026-01-09 02:09:03 upgrade libtirpc3:amd64 1.3.2-2build1 1.3.2-2build1
2026-01-09 02:09:03 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:03 status half-configured libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:03 status unpacked libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:03 status half-installed libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:03 status unpacked libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:03 startup packages configure
2026-01-09 02:09:03 configure libtirpc3:amd64 1.3.2-2build1 <none>
2026-01-09 02:09:03 status unpacked libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:03 status half-configured libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:03 status installed libtirpc3:amd64 1.3.2-2build1
2026-01-09 02:09:04 startup packages configure
2026-01-09 02:09:04 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:09:04 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:04 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:07 startup archives unpack
2026-01-09 02:09:07 upgrade libudev1:amd64 249.11-0ubuntu3 249.11-0ubuntu3
2026-01-09 02:09:07 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:07 status half-configured libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 status unpacked libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 status half-installed libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 status unpacked libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 startup packages configure
2026-01-09 02:09:07 configure libudev1:amd64 249.11-0ubuntu3 <none>
2026-01-09 02:09:07 status unpacked libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 status half-configured libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 status installed libudev1:amd64 249.11-0ubuntu3
2026-01-09 02:09:07 startup packages configure
2026-01-09 02:09:07 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:09:07 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:07 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:11 startup archives unpack
2026-01-09 02:09:11 upgrade libunistring2:amd64 1.0-1 1.0-1
2026-01-09 02:09:11 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:11 status half-configured libunistring2:amd64 1.0-1
2026-01-09 02:09:11 status unpacked libunistring2:amd64 1.0-1
2026-01-09 02:09:11 status half-installed libunistring2:amd64 1.0-1
2026-01-09 02:09:11 status unpacked libunistring2:amd64 1.0-1
2026-01-09 02:09:11 startup packages configure
2026-01-09 02:09:11 configure libunistring2:amd64 1.0-1 <none>
2026-01-09 02:09:11 status unpacked libunistring2:amd64 1.0-1
2026-01-09 02:09:11 status half-configured libunistring2:amd64 1.0-1
2026-01-09 02:09:11 status installed libunistring2:amd64 1.0-1
2026-01-09 02:09:11 startup packages configure
2026-01-09 02:09:11 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:09:11 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:11 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:15 startup archives unpack
2026-01-09 02:09:15 upgrade libuuid1:amd64 2.37.2-4ubuntu3 2.37.2-4ubuntu3
2026-01-09 02:09:15 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:15 status half-configured libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 status half-installed libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 startup packages configure
2026-01-09 02:09:15 configure libuuid1:amd64 2.37.2-4ubuntu3 <none>
2026-01-09 02:09:15 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 status half-configured libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 status installed libuuid1:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:15 startup packages configure
2026-01-09 02:09:15 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:09:15 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:15 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:18 startup archives unpack
2026-01-09 02:09:18 upgrade libxxhash0:amd64 0.8.1-1 0.8.1-1
2026-01-09 02:09:18 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:18 status half-configured libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:18 status unpacked libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:18 status half-installed libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:18 status unpacked libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:19 startup packages configure
2026-01-09 02:09:19 configure libxxhash0:amd64 0.8.1-1 <none>
2026-01-09 02:09:19 status unpacked libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:19 status half-configured libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:19 status installed libxxhash0:amd64 0.8.1-1
2026-01-09 02:09:19 startup packages configure
2026-01-09 02:09:19 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:09:19 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:19 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:22 startup archives unpack
2026-01-09 02:09:22 upgrade libzstd1:amd64 1.4.8+dfsg-3build1 1.4.8+dfsg-3build1
2026-01-09 02:09:22 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:22 status half-configured libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:22 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:22 status half-installed libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:22 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:23 startup packages configure
2026-01-09 02:09:23 configure libzstd1:amd64 1.4.8+dfsg-3build1 <none>
2026-01-09 02:09:23 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:23 status half-configured libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:23 status installed libzstd1:amd64 1.4.8+dfsg-3build1
2026-01-09 02:09:23 startup packages configure
2026-01-09 02:09:23 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:09:23 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:23 status installed libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:09:26 startup archives unpack
2026-01-09 02:09:26 upgrade login:amd64 1:4.8.1-2ubuntu2 1:4.8.1-2ubuntu2
2026-01-09 02:09:26 status half-configured login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:26 status unpacked login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:26 status half-installed login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:26 status unpacked login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:27 startup packages configure
2026-01-09 02:09:27 configure login:amd64 1:4.8.1-2ubuntu2 <none>
2026-01-09 02:09:27 status unpacked login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:27 status half-configured login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:27 status installed login:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:27 startup packages configure
2026-01-09 02:09:30 startup archives unpack
2026-01-09 02:09:30 upgrade logsave:amd64 1.46.5-2ubuntu1 1.46.5-2ubuntu1
2026-01-09 02:09:30 status half-configured logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:30 status unpacked logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:30 status half-installed logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:30 status unpacked logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:31 startup packages configure
2026-01-09 02:09:31 configure logsave:amd64 1.46.5-2ubuntu1 <none>
2026-01-09 02:09:31 status unpacked logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:31 status half-configured logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:31 status installed logsave:amd64 1.46.5-2ubuntu1
2026-01-09 02:09:34 startup archives unpack
2026-01-09 02:09:34 upgrade lsb-base:all 11.1.0ubuntu4 11.1.0ubuntu4
2026-01-09 02:09:34 status half-configured lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 status unpacked lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 status half-installed lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 status unpacked lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 startup packages configure
2026-01-09 02:09:34 configure lsb-base:all 11.1.0ubuntu4 <none>
2026-01-09 02:09:34 status unpacked lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 status half-configured lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 status installed lsb-base:all 11.1.0ubuntu4
2026-01-09 02:09:34 startup packages configure
2026-01-09 02:09:38 startup archives unpack
2026-01-09 02:09:38 upgrade mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2026-01-09 02:09:38 status half-configured mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:38 status unpacked mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:38 status half-installed mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:38 status unpacked mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:38 startup packages configure
2026-01-09 02:09:38 configure mawk:amd64 1.3.4.20200120-3 <none>
2026-01-09 02:09:38 status unpacked mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:38 status half-configured mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:38 status installed mawk:amd64 1.3.4.20200120-3
2026-01-09 02:09:41 startup archives unpack
2026-01-09 02:09:41 upgrade mount:amd64 2.37.2-4ubuntu3 2.37.2-4ubuntu3
2026-01-09 02:09:41 status half-configured mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:41 status unpacked mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:41 status half-installed mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:41 status unpacked mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:42 startup packages configure
2026-01-09 02:09:42 configure mount:amd64 2.37.2-4ubuntu3 <none>
2026-01-09 02:09:42 status unpacked mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:42 status half-configured mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:42 status installed mount:amd64 2.37.2-4ubuntu3
2026-01-09 02:09:45 startup archives unpack
2026-01-09 02:09:45 upgrade ncurses-base:all 6.3-2 6.3-2
2026-01-09 02:09:45 status half-configured ncurses-base:all 6.3-2
2026-01-09 02:09:45 status unpacked ncurses-base:all 6.3-2
2026-01-09 02:09:45 status half-installed ncurses-base:all 6.3-2
2026-01-09 02:09:45 status unpacked ncurses-base:all 6.3-2
2026-01-09 02:09:45 startup packages configure
2026-01-09 02:09:45 configure ncurses-base:all 6.3-2 <none>
2026-01-09 02:09:45 status unpacked ncurses-base:all 6.3-2
2026-01-09 02:09:45 status half-configured ncurses-base:all 6.3-2
2026-01-09 02:09:45 status installed ncurses-base:all 6.3-2
2026-01-09 02:09:45 startup packages configure
2026-01-09 02:09:49 startup archives unpack
2026-01-09 02:09:49 upgrade ncurses-bin:amd64 6.3-2 6.3-2
2026-01-09 02:09:49 status half-configured ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 status unpacked ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 status half-installed ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 status unpacked ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 startup packages configure
2026-01-09 02:09:49 configure ncurses-bin:amd64 6.3-2 <none>
2026-01-09 02:09:49 status unpacked ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 status half-configured ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 status installed ncurses-bin:amd64 6.3-2
2026-01-09 02:09:49 startup packages configure
2026-01-09 02:09:52 startup archives unpack
2026-01-09 02:09:52 upgrade passwd:amd64 1:4.8.1-2ubuntu2 1:4.8.1-2ubuntu2
2026-01-09 02:09:52 status half-configured passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:52 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:52 status half-installed passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:53 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:53 startup packages configure
2026-01-09 02:09:53 configure passwd:amd64 1:4.8.1-2ubuntu2 <none>
2026-01-09 02:09:53 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:53 status half-configured passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:53 status installed passwd:amd64 1:4.8.1-2ubuntu2
2026-01-09 02:09:53 startup packages configure
2026-01-09 02:09:56 startup archives unpack
2026-01-09 02:09:56 upgrade perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2026-01-09 02:09:56 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 startup packages configure
2026-01-09 02:09:57 configure perl-base:amd64 5.34.0-3ubuntu1 <none>
2026-01-09 02:09:57 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 status installed perl-base:amd64 5.34.0-3ubuntu1
2026-01-09 02:09:57 startup packages configure
2026-01-09 02:10:01 startup archives unpack
2026-01-09 02:10:01 upgrade procps:amd64 2:3.3.17-6ubuntu2 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 status half-configured procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 status unpacked procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 status half-installed procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 status unpacked procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 startup packages configure
2026-01-09 02:10:01 configure procps:amd64 2:3.3.17-6ubuntu2 <none>
2026-01-09 02:10:01 status unpacked procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 status half-configured procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:01 status installed procps:amd64 2:3.3.17-6ubuntu2
2026-01-09 02:10:04 startup archives unpack
2026-01-09 02:10:04 upgrade sed:amd64 4.8-1ubuntu2 4.8-1ubuntu2
2026-01-09 02:10:04 status half-configured sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:04 status unpacked sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:04 status half-installed sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:04 status unpacked sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:05 startup packages configure
2026-01-09 02:10:05 configure sed:amd64 4.8-1ubuntu2 <none>
2026-01-09 02:10:05 status unpacked sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:05 status half-configured sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:05 status installed sed:amd64 4.8-1ubuntu2
2026-01-09 02:10:05 startup packages configure
2026-01-09 02:10:08 startup archives unpack
2026-01-09 02:10:08 upgrade sensible-utils:all 0.0.17 0.0.17
2026-01-09 02:10:08 status half-configured sensible-utils:all 0.0.17
2026-01-09 02:10:08 status unpacked sensible-utils:all 0.0.17
2026-01-09 02:10:08 status half-installed sensible-utils:all 0.0.17
2026-01-09 02:10:08 status unpacked sensible-utils:all 0.0.17
2026-01-09 02:10:08 startup packages configure
2026-01-09 02:10:08 configure sensible-utils:all 0.0.17 <none>
2026-01-09 02:10:08 status unpacked sensible-utils:all 0.0.17
2026-01-09 02:10:08 status half-configured sensible-utils:all 0.0.17
2026-01-09 02:10:08 status installed sensible-utils:all 0.0.17
2026-01-09 02:10:12 startup archives unpack
2026-01-09 02:10:12 upgrade sysvinit-utils:amd64 3.01-1ubuntu1 3.01-1ubuntu1
2026-01-09 02:10:12 status half-configured sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 status unpacked sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 status half-installed sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 status unpacked sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 startup packages configure
2026-01-09 02:10:12 configure sysvinit-utils:amd64 3.01-1ubuntu1 <none>
2026-01-09 02:10:12 status unpacked sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 status half-configured sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 status installed sysvinit-utils:amd64 3.01-1ubuntu1
2026-01-09 02:10:12 startup packages configure
2026-01-09 02:10:16 startup archives unpack
2026-01-09 02:10:16 upgrade tar:amd64 1.34+dfsg-1build3 1.34+dfsg-1build3
2026-01-09 02:10:16 status half-configured tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 status unpacked tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 status half-installed tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 status unpacked tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 startup packages configure
2026-01-09 02:10:16 configure tar:amd64 1.34+dfsg-1build3 <none>
2026-01-09 02:10:16 status unpacked tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 status half-configured tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 status installed tar:amd64 1.34+dfsg-1build3
2026-01-09 02:10:16 startup packages configure
2026-01-09 02:10:19 startup archives unpack
2026-01-09 02:10:19 upgrade ubuntu-keyring:all 2021.03.26 2021.03.26
2026-01-09 02:10:19 status half-configured ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:19 status unpacked ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:19 status half-installed ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:19 status unpacked ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:20 startup packages configure
2026-01-09 02:10:20 configure ubuntu-keyring:all 2021.03.26 <none>
2026-01-09 02:10:20 status unpacked ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:20 status half-configured ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:20 status installed ubuntu-keyring:all 2021.03.26
2026-01-09 02:10:20 startup packages configure
2026-01-09 02:10:23 startup archives unpack
2026-01-09 02:10:23 upgrade usrmerge:all 25ubuntu2 25ubuntu2
2026-01-09 02:10:23 status half-configured usrmerge:all 25ubuntu2
2026-01-09 02:10:23 status unpacked usrmerge:all 25ubuntu2
2026-01-09 02:10:23 status half-installed usrmerge:all 25ubuntu2
2026-01-09 02:10:23 status unpacked usrmerge:all 25ubuntu2
2026-01-09 02:10:24 startup packages configure
2026-01-09 02:10:24 configure usrmerge:all 25ubuntu2 <none>
2026-01-09 02:10:24 status unpacked usrmerge:all 25ubuntu2
2026-01-09 02:10:24 status half-configured usrmerge:all 25ubuntu2
2026-01-09 02:10:24 status installed usrmerge:all 25ubuntu2
2026-01-09 02:10:28 startup archives unpack
2026-01-09 02:10:28 upgrade util-linux:amd64 2.37.2-4ubuntu3 2.37.2-4ubuntu3
2026-01-09 02:10:28 status half-configured util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 status half-installed util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 startup packages configure
2026-01-09 02:10:28 configure util-linux:amd64 2.37.2-4ubuntu3 <none>
2026-01-09 02:10:28 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 status half-configured util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 status installed util-linux:amd64 2.37.2-4ubuntu3
2026-01-09 02:10:28 startup packages configure
2026-01-09 02:10:32 startup archives unpack
2026-01-09 02:10:32 upgrade zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:10:32 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 startup packages configure
2026-01-09 02:10:32 configure zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9 <none>
2026-01-09 02:10:32 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 status installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2026-01-09 02:10:32 startup packages configure
2026-01-09 02:10:32 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2026-01-09 02:10:32 status half-configured libc-bin:amd64 2.35-0ubuntu3
2026-01-09 02:10:32 status installed libc-bin:amd64 2.35-0ubuntu3
